                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3923,                 1.0427,                 1.4278,                0.78029,                 0.7701,                0.83002,                 0.5092,                 1.2907,                0.89092,                 1.4812,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.3938,                 1.0136,                 1.4441,                0.77938,                0.80931,                0.82673,                0.50656,                 1.2977,                0.88969,                 1.4793,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.4117,                 1.0215,                 1.4217,                0.79116,                0.80516,                0.83827,                0.52713,                 1.2482,                  0.826,                 1.4539,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.3993,                 1.0057,                 1.4253,                0.78615,                0.81177,                0.83706,                 0.5263,                 1.2616,                 0.8643,                 1.4641,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.3796,                 1.0182,                  1.419,                0.77786,                0.83196,                0.85251,                0.54346,                  1.221,                0.82075,                 1.4198,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.3432,                0.95889,                 1.3999,                0.77555,                0.80712,                0.83992,                0.54066,                 1.2407,                0.86152,                 1.4283,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.3635,                 0.9733,                 1.3959,                0.82464,                0.82301,                  0.871,                0.56187,                 1.2205,                0.77566,                 1.4309,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.3271,                0.95762,                 1.4007,                0.79409,                0.83165,                0.86128,                0.54873,                 1.2462,                0.81503,                 1.4491,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.3318,                0.93646,                 1.3992,                0.81021,                0.80489,                0.85113,                 0.5468,                 1.2389,                0.81251,                 1.4591,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.3585,                 0.9447,                  1.396,                0.79571,                0.80068,                0.85926,                0.56676,                 1.1951,                0.84409,                 1.4175,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.3299,                 0.9669,                 1.4009,                0.79394,                0.77142,                0.84202,                0.54832,                 1.2023,                 0.8272,                 1.4143,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.3518,                0.99337,                 1.3887,                0.77781,                0.80521,                0.81839,                0.53691,                   1.21,                0.83724,                 1.4177,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.3491,                0.95198,                 1.4005,                 0.8054,                0.85317,                0.87815,                0.57966,                 1.1815,                0.74289,                 1.3984,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.3006,                 0.9384,                 1.3582,                 0.7211,                0.79641,                0.85033,                0.55128,                  1.208,                0.85852,                 1.4247,              0.0012049,              0.0012049,              0.0012049
                     59,                 1.3292,                0.89784,                 1.3895,                0.79049,                0.84259,                 0.8603,                 0.5527,                 1.1985,                0.79825,                 1.4085,              0.0011967,              0.0011967,              0.0011967
                     60,                 1.3531,                0.94225,                 1.4005,                0.80517,                 0.8489,                 0.8751,                0.57021,                 1.1928,                0.75593,                 1.4001,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.3419,                0.91617,                 1.3896,                0.80828,                0.84674,                 0.8753,                0.57293,                 1.1863,                0.74349,                 1.3985,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.3282,                0.89746,                 1.3791,                0.82743,                 0.8284,                0.86743,                0.55754,                  1.218,                0.77162,                 1.4261,              0.0011719,              0.0011719,              0.0011719
                     63,                 1.2984,                0.87584,                  1.354,                0.82247,                0.84178,                0.87598,                0.56803,                 1.1628,                0.74705,                 1.3759,              0.0011636,              0.0011636,              0.0011636
                     64,                 1.3188,                0.90315,                 1.3619,                0.83567,                0.84128,                  0.884,                0.58837,                 1.1538,                0.74035,                 1.3767,              0.0011554,              0.0011554,              0.0011554
                     65,                 1.2927,                0.87219,                  1.364,                0.81716,                0.87623,                0.89143,                0.59962,                  1.152,                0.71926,                 1.3774,              0.0011471,              0.0011471,              0.0011471
                     66,                  1.298,                 0.8848,                 1.3543,                0.82442,                0.85519,                0.89015,                0.59601,                 1.1456,                0.72911,                 1.3793,              0.0011389,              0.0011389,              0.0011389
                     67,                 1.2951,                0.90576,                 1.3606,                0.80058,                0.84073,                0.89818,                0.59878,                 1.1553,                0.73428,                 1.3886,              0.0011306,              0.0011306,              0.0011306
